grid_id,date,temperature,humidity,precipitation,wind,day_of_week,month,is_weekend,is_holiday,lag_1,lag_3,lag_7,rolling_sum_7,rolling_sum_14,grid_id_enc,rf_prob,rf_pred,temperature_shap,humidity_shap,precipitation_shap,wind_shap,day_of_week_shap,month_shap,is_weekend_shap,is_holiday_shap,lag_1_shap,lag_3_shap,lag_7_shap,rolling_sum_7_shap,rolling_sum_14_shap,grid_id_enc_shap,top_driver_1,top_driver_2,top_driver_3,top_driver_1_shap,top_driver_2_shap,top_driver_3_shap,explanation_text
r18_c0,2024-12-06,-0.8,51.0,0.0,16.7,4,12,0,0,0.0,0.0,0.0,0.0,0.0,130,0.49330026422069645,0,0.03198994934240394,0.049593670717698136,0.01574497734434162,-0.016495370080689176,0.006553901630494157,-0.06511533377213473,0.002654573601191337,0.001979294806341963,-1.4036039354445395e-05,-5.690252367196523e-05,8.630935606380876e-05,-0.0034306413018220204,-0.010566960453701823,-0.019421511356086368,month,humidity,temperature,-0.06511533377213473,0.049593670717698136,0.03198994934240394,"Risk remains lower mainly because month (decreases risk), humidity (increases risk), and temperature (increases risk)."
r18_c1,2024-12-06,-0.8,51.0,0.0,16.7,4,12,0,0,0.0,0.0,0.0,0.0,0.0,131,0.490509860079639,0,0.03182511735769064,0.04896204259848776,0.015002197982788842,-0.017035452447673703,0.007630148427329754,-0.06659567382072948,0.002279573077080421,0.00192821559360228,-1.4621663539970871e-05,-5.924258820588492e-05,8.656731239715509e-05,-0.0035531438707509656,-0.01068379031856226,-0.01906042050989761,month,humidity,temperature,-0.06659567382072948,0.04896204259848776,0.03182511735769064,"Risk remains lower mainly because month (decreases risk), humidity (increases risk), and temperature (increases risk)."
r29_c14,2024-12-30,11.5,81.0,0.0,12.2,0,12,0,0,0.0,0.0,0.0,0.0,0.0,279,0.1489925031647802,0,-0.025414249091861112,-0.04592874640777318,0.004736746333393142,-0.014487314525666366,-0.03841778025331184,-0.008414370570328804,0.0010133238741547221,-0.0016765791344347419,-0.0005544926353158044,7.19906856785959e-05,-6.646374674052226e-05,-0.007919783013842155,-0.01786982435216638,-0.19587829694662684,grid_id_enc,humidity,day_of_week,-0.19587829694662684,-0.04592874640777318,-0.03841778025331184,"Risk remains lower mainly because location history (decreases risk), humidity (decreases risk), and day of week (decreases risk)."
r15_c13,2024-12-13,6.0,67.0,0.0,11.7,4,12,0,0,0.0,0.0,0.0,0.0,0.0,88,0.17005573881426606,0,-0.0125534186295005,-0.03387804652052946,0.01193975699994261,0.00033673228823701614,-0.00656086566710378,-0.06303161070771185,-0.009024280708976025,-0.0007823458679078335,-0.0008239361568398847,0.00010297089460360682,-7.807181894030623e-05,-0.009953648891038837,-0.024459194344220527,-0.1809766450053715,grid_id_enc,month,humidity,-0.1809766450053715,-0.06303161070771185,-0.03387804652052946,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and humidity (decreases risk)."
r12_c18,2024-11-06,20.5,87.0,0.8,18.4,2,11,0,0,0.0,0.0,0.0,0.0,0.0,40,0.14843862093929114,0,-0.034467370595884506,-0.04309354284411598,-0.009391003342660865,-0.01688854546834415,-0.00498590460993501,-0.06541553631518085,0.0008662902446762011,-0.0003495714055622281,-0.0007324712719377973,-6.116831288399829e-05,-0.0001523784239465809,-0.007634883018830164,-0.018951149495358446,-0.15010248715037028,grid_id_enc,month,humidity,-0.15010248715037028,-0.06541553631518085,-0.04309354284411598,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and humidity (decreases risk)."
r29_c25,2024-12-23,2.1,65.0,0.0,12.0,0,12,0,0,0.0,0.0,0.0,0.0,0.0,288,0.17164731718375278,0,-0.0023062154234116984,-0.019116022903848725,0.008394956724041303,-0.008453803362618518,-0.033864719042588164,-0.02496092647678827,-0.00032862198044993204,-0.001433806870155151,-0.0004134929762032193,5.850334167996964e-05,-5.2639030666243886e-05,-0.006834715354859302,-0.015254731688338434,-0.2235847907216634,grid_id_enc,day_of_week,month,-0.2235847907216634,-0.033864719042588164,-0.02496092647678827,"Risk remains lower mainly because location history (decreases risk), day of week (decreases risk), and month (decreases risk)."
r22_c16,2024-11-09,18.4,78.0,0.1,21.9,5,11,1,0,0.0,0.0,0.0,0.0,0.0,205,0.15693351325310748,0,0.002226744479583553,-0.05752691082744958,-0.011188630479158265,-0.04462232182548273,-0.011029381466298095,-0.06868947851294051,-0.003396811934884421,-0.001654115361796015,-0.0005655111043148344,-4.514191116269774e-05,-0.0002761632222123107,-0.007147076135881772,-0.024555016318496905,-0.11439501507602239,grid_id_enc,month,humidity,-0.11439501507602239,-0.06868947851294051,-0.05752691082744958,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and humidity (decreases risk)."
r23_c15,2024-11-08,20.3,88.0,0.2,9.8,4,11,0,0,0.0,0.0,0.0,0.0,0.0,216,0.1567494329665579,0,-0.035743370690051936,-0.044370141654650655,-0.01303474524204943,-0.01641238108314554,-0.005488465475822712,-0.055573563402833794,-0.0023198321130520044,0.00010415480636529832,-0.00040856876439809614,-1.6421159832256534e-06,-0.00021170311322356194,-0.006477396654496838,-0.015569789497396654,-0.1475414649823279,grid_id_enc,month,humidity,-0.1475414649823279,-0.055573563402833794,-0.044370141654650655,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and humidity (decreases risk)."
r12_c1,2024-12-01,3.7,64.0,0.0,12.5,6,12,1,0,0.0,0.0,0.0,0.0,0.0,31,0.15908205598453312,0,-0.050186687678543854,-0.024454831501200563,0.01011231110271944,-0.0223162329034274,-0.005335899906406489,-0.04033602680163821,-0.0005490710252745767,-0.0006342929234198386,-0.0008716616242151746,3.674348918524563e-05,-0.00022086318034957684,-0.01025185060783453,-0.02412141361984204,-0.17158650978484097,grid_id_enc,temperature,month,-0.17158650978484097,-0.050186687678543854,-0.04033602680163821,"Risk remains lower mainly because location history (decreases risk), temperature (decreases risk), and month (decreases risk)."
r11_c15,2024-10-21,16.0,60.0,0.0,11.6,0,10,0,0,0.0,0.0,0.0,0.0,0.0,22,0.14163501587064742,0,-0.00335591536295729,-0.012026101807837499,0.0020576062344885623,-0.011051549514692975,-0.042782700620008045,-0.06147267031298348,-0.002831253855752197,-0.0036095173089491944,-0.0003217077041240289,1.597915977374621e-05,1.0608249525451633e-06,-0.00787459451940817,-0.02464196971513611,-0.1902699925763432,grid_id_enc,month,day_of_week,-0.1902699925763432,-0.06147267031298348,-0.042782700620008045,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and day of week (decreases risk)."
r25_c13,2024-12-17,14.0,88.0,0.0,13.1,1,12,0,0,0.0,0.0,0.0,0.0,0.0,236,0.15996771829698916,0,-0.007707170165324408,-0.0655125976486459,-0.0019130073105188552,-0.016752575865779686,-0.014964935221317257,-0.04644007099839631,-0.0003312761979555263,0.0005074536142718353,-0.0005329649229872858,-7.474328552102544e-05,-0.00019427790794896872,-0.011530697546648,-0.030907767562826552,-0.14347599363303667,grid_id_enc,humidity,month,-0.14347599363303667,-0.0655125976486459,-0.04644007099839631,"Risk remains lower mainly because location history (decreases risk), humidity (decreases risk), and month (decreases risk)."
r27_c15,2024-10-28,15.4,75.0,0.0,14.2,0,10,0,0,0.0,0.0,0.0,0.0,0.0,258,0.1537179143290422,0,-0.005958671280331979,-0.06772244842066176,0.002921566312181228,-0.021915475652676618,-0.03725853873833873,-0.05747013711090751,-0.00020000678574667277,0.0004858022281089295,-0.00038484344207798967,5.3476965736478106e-05,-1.2761619993249587e-05,-0.009365169460890973,-0.027808907402654685,-0.12144431421232306,grid_id_enc,humidity,month,-0.12144431421232306,-0.06772244842066176,-0.05747013711090751,"Risk remains lower mainly because location history (decreases risk), humidity (decreases risk), and month (decreases risk)."
r26_c15,2024-11-11,17.1,87.0,1.1,13.4,0,11,0,1,0.0,0.0,0.0,0.0,0.0,251,0.14014893488246088,0,-0.015368657921477078,-0.049856120432571364,-0.026713652820082187,-0.014790523904702594,-0.03426654682677927,-0.028981536279463923,-0.0008225164990551979,-0.01604024026574725,-0.00024276979597165872,-1.2781444352766645e-05,-0.00011520306052181247,-0.008650214599251606,-0.026761085229937684,-0.1370275589872488,grid_id_enc,humidity,day_of_week,-0.1370275589872488,-0.049856120432571364,-0.03426654682677927,"Risk remains lower mainly because location history (decreases risk), humidity (decreases risk), and day of week (decreases risk)."
r11_c15,2024-12-18,14.2,90.0,1.3,15.2,2,12,0,0,0.0,0.0,0.0,0.0,0.0,22,0.16543754594793478,0,-0.01815329238919409,-0.055646510218479925,-0.014667611464220692,-0.01278664693424375,-0.011832586470871407,-0.03782054572266416,-0.0007239738360901404,-0.0015546714895305577,-0.0004124640281725995,-8.280438461138075e-05,-9.968557840412217e-05,-0.006146416133108571,-0.020415920413015966,-0.15401766793908084,grid_id_enc,humidity,month,-0.15401766793908084,-0.055646510218479925,-0.03782054572266416,"Risk remains lower mainly because location history (decreases risk), humidity (decreases risk), and month (decreases risk)."
r0_c7,2024-11-13,13.8,64.0,0.1,20.0,2,11,0,0,0.0,0.0,0.0,0.0,0.0,3,0.17660261984394635,0,-0.007963117133569321,-0.02606424934336383,-0.007116576469863389,-0.03548868785121892,-0.018880835488867157,-0.04396506694248699,-0.0036660682794757335,-0.0026890618583667847,-0.00044997310857821483,-7.940499143740896e-05,-6.402181339996414e-05,-0.006722905488157147,-0.023340436288051897,-0.14670531804884043,grid_id_enc,month,wind,-0.14670531804884043,-0.04396506694248699,-0.03548868785121892,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and wind (decreases risk)."
r25_c13,2024-12-26,7.0,76.0,0.2,15.4,3,12,0,0,0.0,0.0,0.0,0.0,0.0,236,0.15866560976995175,0,-0.009353107197556955,-0.06112968750218725,-0.017831348762025554,-0.009960176390075414,-0.003872174250029053,-0.07246301103417026,0.0017803006592806744,0.0002214345707257533,-0.00044949564768927873,-2.1165807349005973e-05,-0.00021209043554530965,-0.009799683990908489,-0.024840934304069192,-0.13320159308807275,grid_id_enc,month,humidity,-0.13320159308807275,-0.07246301103417026,-0.06112968750218725,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and humidity (decreases risk)."
r22_c12,2024-10-21,16.0,60.0,0.0,11.6,0,10,0,0,0.0,0.0,0.0,0.0,0.0,201,0.16425896801225248,0,0.00903726028131406,-0.011951151672751363,0.0088174159735221,-0.016782869349636406,-0.058177704470187386,-0.06725558329696979,-0.00935640670540851,-0.005815551788981705,-0.00030493390203745885,3.771752023893871e-05,4.273174224577071e-05,-0.008067129482923764,-0.027716472941004332,-0.1480466968447908,grid_id_enc,month,day_of_week,-0.1480466968447908,-0.06725558329696979,-0.058177704470187386,"Risk remains lower mainly because location history (decreases risk), month (decreases risk), and day of week (decreases risk)."
